Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,YrSold,SaleType,SaleCondition,SalePrice
164,70,RM,50,10300,Pave,NA,IR1,Bnk,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,902,808,1710,0,3,1,9,2010,WD,Normal,140000
165,60,RL,NA,9375,Pave,NA,Reg,Lvl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,1057,977,2034,1,3,1,8,2009,WD,Normal,219500
166,60,RL,76,9591,Pave,NA,Reg,Lvl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,1143,1330,2473,0,4,1,9,2007,WD,Normal,317000
167,20,RL,NA,19900,Pave,NA,Reg,Lvl,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,2207,0,2207,1,3,1,7,2010,WD,Normal,180000
168,20,RL,72,10665,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,1479,0,1479,1,3,1,7,2007,WD,Normal,226000
169,30,RM,47,4608,Pave,NA,Reg,Lvl,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,747,0,747,0,2,1,4,2010,WD,Normal,80000
170,50,RL,81,15593,Pave,NA,Reg,Lvl,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953,1304,983,2287,0,3,1,7,2006,WD,Normal,225000
171,20,RL,95,13651,Pave,NA,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,2223,0,2223,1,3,1,8,2007,WD,Normal,244000
172,20,RL,69,7599,Pave,NA,Reg,Lvl,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,2006,845,0,845,1,2,1,4,2007,WD,Normal,129500
173,60,RL,74,10141,Pave,NA,IR1,Lvl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998,885,833,1718,0,3,1,7,2009,WD,Normal,185000
174,20,RL,85,10200,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,7,1954,2003,1086,0,1086,1,3,1,6,2010,WD,Normal,144900
175,50,RM,60,5790,Pave,NA,Reg,Lvl,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,840,765,1605,0,3,2,8,2010,WD,Normal,107400
176,180,RM,21,1596,Pave,NA,Reg,Lvl,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,526,462,988,1,2,1,5,2009,WD,Normal,91000
177,20,RL,NA,8475,Pave,NA,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,952,0,952,0,2,1,4,2008,WD,Normal,135750
178,50,RM,50,8635,Pave,NA,Reg,Lvl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,1072,213,1285,1,2,1,6,2008,WD,Normal,127000
179,90,RL,72,10778,Pave,NA,Reg,Lvl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,1768,0,1768,0,4,2,8,2010,WD,Normal,136500
180,50,RM,60,10440,Pave,Grvl,Reg,Lvl,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,682,548,1230,0,2,1,5,2009,WD,Normal,110000
181,60,RL,100,13000,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,1182,960,2142,0,4,1,8,2009,WD,Normal,193500
182,120,RM,32,4500,Pave,NA,Reg,Lvl,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,1998,1337,0,1337,1,2,1,5,2006,WD,Normal,153500
183,20,RL,78,10206,Pave,NA,Reg,Lvl,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,1563,0,1563,0,3,1,6,2008,WD,Normal,245000
184,20,RL,80,8892,Pave,NA,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,1065,0,1065,0,3,1,6,2007,COD,Normal,126500
185,80,RL,NA,8530,Pave,NA,IR1,Lvl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,804,670,1474,0,3,1,7,2009,WD,Normal,168500
186,60,RL,121,16059,Pave,NA,Reg,Lvl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1991,1992,1301,1116,2417,0,4,1,9,2006,WD,Normal,260000
187,60,RL,122,11911,Pave,NA,IR2,Lvl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,684,876,1560,0,3,1,6,2009,WD,Normal,174000
188,160,FV,40,3951,Pave,Pave,Reg,Lvl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,612,612,1224,0,2,1,4,2009,New,Partial,164500
189,50,C (all),105,8470,Pave,NA,IR1,Lvl,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1915,1982,1013,0,1526,0,2,1,6,2009,ConLD,Abnorml,85000
190,20,RL,60,8070,Pave,NA,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,4,5,1994,1995,990,0,990,1,3,1,5,2007,WD,Normal,123600
191,20,RL,60,7200,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,4,5,1950,1950,1040,0,1040,0,2,1,4,2006,WD,Normal,109900
192,20,RL,85,8500,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,3,1961,1961,1235,0,1235,0,2,1,6,2006,WD,Abnorml,98600
193,30,RL,80,13360,Pave,Grvl,IR1,HLS,Crawfor,Norm,Norm,1Fam,1Story,5,7,1921,2006,964,0,964,1,2,1,5,2009,WD,Normal,163500
194,190,C (all),60,7200,Pave,NA,Reg,Lvl,OldTown,Norm,Norm,2fmCon,2.5Unf,6,6,1910,1998,1260,1031,2291,0,4,2,9,2007,WD,Normal,133900
195,60,RL,69,9337,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1997,1997,905,881,1786,1,3,1,7,2007,WD,Normal,204750
196,60,RL,NA,9765,Pave,NA,IR2,Lvl,Gilbert,Norm,Norm,1Fam,2Story,6,8,1993,1993,680,790,1470,0,3,1,6,2009,WD,Normal,185000
197,20,RL,78,10264,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,1588,0,1588,0,3,1,6,2006,WD,Normal,214000
198,20,RL,73,10921,Pave,NA,Reg,HLS,Edwards,Norm,Norm,1Fam,1Story,4,5,1965,1965,960,0,960,1,3,1,6,2007,WD,Normal,94750
199,30,RL,85,10625,Pave,NA,Reg,Lvl,Edwards,Norm,Norm,1Fam,1Story,5,5,1920,1950,835,0,835,0,2,1,5,2010,COD,Abnorml,83000
200,20,RL,77,9320,Pave,NA,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,4,5,1959,1959,1225,0,1225,1,3,1,6,2010,WD,Normal,128950
201,20,RL,NA,10603,Pave,NA,IR1,Lvl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,1610,0,1610,1,3,1,6,2010,WD,Normal,205000
202,60,RL,77,9206,Pave,NA,Reg,Lvl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1985,1985,977,755,1732,0,3,1,7,2010,WD,Normal,178000
203,90,RL,64,7018,Pave,NA,Reg,Bnk,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,1535,0,1535,0,4,2,8,2009,WD,Alloca,118964
204,20,RL,94,10402,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2009,2009,1226,0,1226,0,3,1,6,2010,WD,Normal,198900
205,50,RM,NA,7758,Pave,NA,Reg,Lvl,IDOTRR,Norm,Norm,1Fam,1.5Fin,7,4,1931,1950,1226,592,1818,0,4,1,7,2007,WD,Normal,169500
206,60,FV,75,9375,Pave,NA,Reg,Lvl,Somerst,Norm,Norm,1Fam,2Story,8,5,2003,2004,1053,939,1992,0,3,1,9,2008,WD,Normal,250000
207,30,RM,60,10800,Pave,Grvl,Reg,Lvl,OldTown,Norm,Norm,1Fam,1Story,4,7,1885,1995,1047,0,1047,0,2,1,6,2007,WD,Normal,100000
208,20,RM,50,6000,Pave,NA,Reg,Lvl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,789,0,789,0,2,1,5,2008,WD,Partial,115000
209,50,RM,85,8500,Pave,NA,Reg,Lvl,IDOTRR,Artery,Norm,1Fam,1.5Fin,5,7,1919,2005,997,520,1517,0,3,1,7,2007,WD,Normal,115000
210,20,RL,105,11751,Pave,NA,IR1,Lvl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,1844,0,1844,0,3,1,7,2010,COD,Normal,190000
211,50,RL,75,9525,Pave,NA,Reg,Lvl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1954,1972,1216,639,1855,0,4,1,7,2006,WD,Normal,136900
212,80,RL,NA,7750,Pave,NA,IR1,Lvl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000,774,656,1430,0,3,1,7,2010,WD,Normal,180000
213,60,RL,77,9965,Pave,NA,Reg,Lvl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2007,2007,1282,1414,2696,1,4,1,10,2007,New,Partial,383970
214,20,RL,NA,21000,Pave,NA,Reg,Bnk,Crawfor,Norm,Norm,1Fam,1Story,6,5,1953,1953,2259,0,2259,1,3,1,7,2007,COD,Abnorml,217000
215,70,RL,61,7259,Pave,NA,IR1,Lvl,Crawfor,Norm,Norm,1Fam,2Story,6,8,1945,2002,1436,884,2320,1,3,1,9,2007,WD,Normal,259500
216,160,FV,34,3230,Pave,Pave,Reg,Lvl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,1999,1999,729,729,1458,0,2,1,5,2007,WD,Normal,176000
217,20,RL,NA,11616,Pave,NA,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,1092,0,1092,0,3,1,6,2009,WD,Normal,139000
218,20,RL,74,8536,Pave,NA,Reg,Lvl,Edwards,Norm,Norm,1Fam,1Story,5,5,2006,2007,1125,0,1125,0,2,1,5,2007,New,Partial,155000
219,60,RL,90,12376,Pave,NA,Reg,Lvl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1990,1990,1699,1523,3222,1,5,1,11,2010,WD,Normal,320000
220,60,RL,65,8461,Pave,NA,Reg,Lvl,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2006,728,728,1456,0,3,1,8,2006,New,Partial,163990
221,80,RL,NA,21453,Pave,NA,IR1,Low,ClearCr,Norm,Norm,1Fam,SLvl,6,5,1969,1969,988,0,988,1,1,1,4,2006,WD,Normal,180000
222,50,RM,50,6060,Pave,NA,Reg,Lvl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1939,1950,772,351,1123,0,3,1,4,2007,WD,Normal,100000
223,20,RL,75,9464,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,7,1958,1958,1080,0,1080,0,3,1,5,2008,WD,Normal,136000
224,120,RL,55,7892,Pave,NA,Reg,Lvl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1993,1993,1199,0,1199,0,2,1,5,2008,WD,Normal,153900
225,20,RL,48,17043,Pave,NA,IR1,Lvl,NWAmes,Norm,Norm,1Fam,1Story,6,5,1979,1998,1586,0,1586,0,3,1,7,2009,WD,Normal,181000
226,190,RM,60,6780,Pave,NA,Reg,Lvl,IDOTRR,Norm,Norm,2fmCon,1.5Fin,6,8,1935,1982,520,0,754,1,2,1,5,2006,WD,Normal,84500
227,120,RL,NA,4928,Pave,NA,IR1,Lvl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1976,1976,958,0,958,0,2,1,5,2007,WD,Normal,128000
228,45,RM,55,4388,Pave,NA,IR1,Bnk,OldTown,Feedr,Norm,1Fam,1.5Unf,5,7,1930,1950,840,0,840,0,3,1,5,2007,WD,Normal,87000
229,60,RL,69,7590,Pave,NA,Reg,Lvl,NAmes,PosN,Norm,1Fam,2Story,6,5,1966,1966,660,688,1348,0,3,1,6,2006,WD,Normal,155000
230,20,RL,69,8973,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,7,1958,1991,1053,0,1053,0,3,1,6,2006,WD,Abnorml,150000
231,60,RL,88,14200,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,2Story,7,6,1966,1966,1216,941,2157,0,4,1,8,2006,WD,Normal,226000
232,60,RL,NA,12224,Pave,NA,IR1,Lvl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,1022,1032,2054,1,3,1,7,2009,WD,Normal,244000
233,20,RL,75,7388,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,2002,1327,0,1327,1,3,1,7,2007,WD,Normal,150750
234,20,RL,NA,6853,Pave,NA,IR1,Lvl,Timber,Norm,Norm,1Fam,1Story,8,5,2001,2002,1296,0,1296,1,2,1,6,2009,WD,Normal,220000
235,20,RL,78,10335,Pave,NA,IR1,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1968,1993,1721,0,1721,0,3,1,7,2006,WD,Normal,180000
236,20,RL,80,10400,Pave,NA,Reg,Lvl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1970,1970,1682,0,1682,0,3,1,7,2008,WD,Normal,174000
237,20,RL,NA,10355,Pave,NA,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,5,1967,1967,1214,0,1214,0,3,1,5,2007,WD,Normal,143000
238,90,RL,82,11070,Pave,NA,Reg,Lvl,Mitchel,Norm,Norm,Duplex,1Story,7,5,1988,1989,1959,0,1959,0,5,2,9,2006,WD,Family,171000
239,60,RL,73,9066,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,2Story,8,5,1999,2000,1004,848,1852,0,3,1,7,2008,WD,Normal,230000
240,60,RL,65,15426,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1997,1997,928,836,1764,1,3,1,7,2009,WD,Normal,231500
241,20,RL,70,10500,Pave,NA,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,864,0,864,0,3,1,5,2010,ConLI,Normal,115000
242,20,RL,78,11645,Pave,NA,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,1734,0,1734,1,3,1,7,2006,WD,Normal,260000
243,50,RL,71,8520,Pave,NA,Reg,Lvl,NAmes,Artery,Norm,1Fam,1.5Fin,5,4,1952,1952,910,475,1385,0,4,1,6,2010,WD,Normal,166000
244,20,RL,78,10335,Pave,NA,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,1501,0,1501,1,3,1,6,2009,WD,Normal,204000
245,90,RM,70,9100,Pave,NA,Reg,Lvl,Sawyer,RRAe,Norm,Duplex,1Story,5,5,1963,1963,1728,0,1728,1,6,2,10,2006,ConLI,Abnorml,125000
246,160,RM,24,2522,Pave,NA,Reg,Lvl,Edwards,Norm,Norm,Twnhs,2Story,6,5,2004,2006,970,739,1709,0,3,1,7,2006,WD,Normal,130000
247,30,RM,51,6120,Pave,NA,Reg,Lvl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1931,1993,875,0,875,1,2,1,5,2009,WD,Normal,105000
248,60,RL,NA,9505,Pave,NA,IR1,Lvl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2001,2001,884,1151,2035,0,3,1,8,2010,WD,Normal,222500
249,20,RL,63,7500,Pave,NA,Reg,Lvl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2004,2005,1080,0,1080,1,3,1,6,2008,WD,Normal,141000
250,50,RM,NA,6240,Pave,NA,Reg,Lvl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1936,1950,896,448,1344,0,3,1,7,2006,WD,Normal,115000
